Strategies selected are: 
structure_name mc_cycles cal_time cal_steps rmsd_to_p26 restraint_scale_end R_start R_end rmsd(b)_start rmsd(b)_end
[opt_qm]
191_WG03-new/0.3 3.4 133.90755 125.2 0.372671607844 1.0 0.22746 0.13941 0.09324 0.0252
191_WG03-new/0.6 4.0 162.55663 160.6 0.65612054286 1.0 0.32899 0.37711 0.08587 0.02536
191_WG03-new/0.9 3.7 149.55595 132.2 1.0219379859 1.0 0.42595 0.55104 0.08401 0.02565
191_WG03-new/1.2 3.7 145.81745 146.4 1.33868175079 1.0 0.52492 0.57564 0.08526 0.02656
191_WG03-new/1.5 3.7 147.39219 141.3 1.68547289931 1.0 0.55011 0.57403 0.08646 0.02734
192_WG10-new/0.3 2.9 109.34879 101.7 0.347072263155 1.0 0.22067 0.21778 0.08536 0.02705
192_WG10-new/0.6 4.3 176.89464 165.2 0.632908694283 1.0 0.42135 0.35613 0.08655 0.0273
192_WG10-new/0.9 3.7 146.1676 135.8 1.1240405522 1.0 0.5111 0.47488 0.08502 0.02749
192_WG10-new/1.2 3.6 145.00944 140.3 1.45776311083 1.0 0.53489 0.5111 0.08304 0.02736
192_WG10-new/1.5 3.6 145.68604 146.0 1.75912299358 1.0 0.60049 0.5644 0.08662 0.02771
193_WG06-new/0.3 2.8 101.54443 81.4 0.251219235209 1.0 0.17468 0.14389 0.08704 0.02606
193_WG06-new/0.6 3.5 137.33815 138.7 0.500622761362 1.0 0.59645 0.31156 0.08522 0.02622
193_WG06-new/0.9 4.2 165.718 166.6 0.873935449313 1.0 0.59429 0.47987 0.08579 0.02733
193_WG06-new/1.2 3.6 146.20851 129.5 1.37083792887 1.0 0.61966 0.53061 0.08329 0.02841
193_WG06-new/1.5 3.9 154.74168 152.1 1.65939292511 1.0 0.50622 0.57332 0.08339 0.0273
194_WG02-new/0.3 2.5 93.93961 82.9 0.244245050066 1.0 0.1503 0.13867 0.08893 0.02591
194_WG02-new/0.6 4.2 170.76441 170.0 0.473824759499 1.0 0.54792 0.28684 0.08761 0.02594
194_WG02-new/0.9 3.3 123.85113 116.0 0.939061845032 1.0 0.63697 0.51401 0.08293 0.0277
